"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000000708",1012.09781569308,-0.476652090447253,0.188409435756381,-2.52987377481231,0.0114103567632971,0.243170427137007
"ENSMUSG00000000711",1327.29237213803,-0.0671357475466459,0.125550686259677,-0.534730231643566,0.592836413375849,0.999660933209297
"ENSMUSG00000000724",0.528875116483235,1.34755295530458,3.66636875356378,0.367544304973343,0.713213050173424,NA
"ENSMUSG00000000730",0,NA,NA,NA,NA,NA
"ENSMUSG00000000731",0,NA,NA,NA,NA,NA
"ENSMUSG00000000732",14.3544732836391,0.00138423349710402,0.768345160596851,0.00180157768681559,0.998562549756187,0.999973988818375
"ENSMUSG00000000738",397.258321082939,-0.291085768576694,0.173017749182427,-1.68240408832147,0.0924905091620854,0.707528901068828
"ENSMUSG00000000739",78.2003265739513,1.12480175867063,0.346044376032656,3.25045524960209,0.00115220400423527,0.0473606492070551
"ENSMUSG00000000740",335.828222374025,-0.114548653248596,0.356881005874886,-0.3209715601641,0.748231943225909,0.999660933209297
"ENSMUSG00000000743",557.631967543766,0.0417026066645253,0.149819876359413,0.278351629155547,0.780742447061782,0.999660933209297
"ENSMUSG00000000751",306.144847098804,0.28138477627712,0.184245849966747,1.52722450100181,0.126705195798967,0.796873955251846
"ENSMUSG00000000753",5198.43716684811,-0.0668888273090318,0.117342643726959,-0.570030000897828,0.568657350198889,0.999660933209297
"ENSMUSG00000000759",210.529315264046,0.0416169661030415,0.240825296090543,0.172809778618085,0.862800950462626,0.999660933209297
"ENSMUSG00000000766",0,NA,NA,NA,NA,NA
"ENSMUSG00000000776",77.9273538306539,0.395557187295079,0.332031901605554,1.19132283790306,0.233526871684359,0.935374607418911
"ENSMUSG00000000782",36.2149885526595,-0.179549332532636,0.381790588172949,-0.470282238731617,0.63815338529618,0.999660933209297
"ENSMUSG00000000787",2712.82065900386,-0.380269351194954,0.143382578645827,-2.6521307873411,0.00799855526286109,0.19427659714761
"ENSMUSG00000000791",10.7397597413315,0.268246602768996,0.69810044325841,0.384252159355386,0.700791562494932,0.999660933209297
"ENSMUSG00000000792",0.160430315127077,1.17951874533048,4.0804728567969,0.289064230231489,0.772532225785861,NA
"ENSMUSG00000000794",0.152141114129981,0.954346861800924,4.0804728567969,0.23388143857182,0.815077023491623,NA
"ENSMUSG00000000804",454.01334875183,0.257573313570785,0.155030895503324,1.6614321470217,0.096626685894506,0.718552919658846
"ENSMUSG00000000805",0,NA,NA,NA,NA,NA
"ENSMUSG00000000811",75.8094396895232,0.205385803379574,0.275679905156439,0.74501550362557,0.456262347530125,0.999660933209297
"ENSMUSG00000000817",2.57887470534483,-0.852937804702079,1.54424963551247,-0.552331556431952,0.58072121404696,0.999660933209297
"ENSMUSG00000000823",264.275319853747,-0.298939425326307,0.254717650721937,-1.17361095502818,0.240550891202356,0.938493463929506
"ENSMUSG00000000826",829.722669190502,-0.081576623304279,0.132875148941521,-0.613934388439943,0.539258684834825,0.999660933209297
"ENSMUSG00000000827",266.188398777087,0.0548786874411935,0.193438720957562,0.283700632270171,0.776639810150358,0.999660933209297
"ENSMUSG00000000838",282.020028093,0.0768909537033423,0.21972085545296,0.349948363093843,0.726377450500092,0.999660933209297
"ENSMUSG00000000861",2.30718332992824,-0.323923273156141,1.63492030425966,-0.198127867341414,0.842945022008664,0.999660933209297
"ENSMUSG00000000869",1.00267120265371,-0.692263404822708,2.38277648925168,-0.290528049082822,0.771412295614072,NA
"ENSMUSG00000000876",968.009819457412,-0.222547144427779,0.128510072117602,-1.73174865409866,0.0833183237611417,0.679721243246566
"ENSMUSG00000000881",148.877601186241,-0.374815758131612,0.276672946624879,-1.35472500186221,0.175505189077144,0.881177395628265
"ENSMUSG00000000884",14.3630538521507,0.274047859422178,0.667212813239462,0.410735306613218,0.681266634928165,0.999660933209297
"ENSMUSG00000000889",0,NA,NA,NA,NA,NA
"ENSMUSG00000000901",4.59923696133005,2.04394680532452,1.40415868535124,1.45563804621787,0.145492704694543,0.834046684919443
"ENSMUSG00000000902",166.481656404802,-0.0456576134011818,0.209955102210647,-0.217463700193262,0.82784699313583,0.999660933209297
"ENSMUSG00000000903",0.308243741471702,0.297566389994715,4.0804728567969,0.0729244870478809,0.941866207972296,NA
"ENSMUSG00000000915",416.158222280894,-0.163595017768734,0.235714249793912,-0.694039575086222,0.487657390734261,0.999660933209297
"ENSMUSG00000000916",88.3001787425776,0.12538683833769,0.290813312949671,0.431159210236672,0.666352610448382,0.999660933209297
"ENSMUSG00000000934",161.145413754673,-0.373337735514842,0.216985999581861,-1.72056140135435,0.0853304426953063,0.686405421294179
"ENSMUSG00000000938",0,NA,NA,NA,NA,NA
